,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,,,,,,,,
#,GlobalCO2,NOICON,0.01,0,1,HIGHBAD,icons_co2,#,"_year,0+(0.01*x)* _winning_","_globaleconomy_,0+(0.08*x)* _winning_",#,,,,,,,,,,,,,,,,
#,_HighIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_highincome,#,#,"CarUsage,0+(0.18*x)","AirTravel,0+(0.26*x)",,,,,,,,,,,,,,,,
#,_LowIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_lowincome,#,#,"CarUsage,0+(0.06*x)","AirTravel,0+(0.06*x)","BusUsage,0-(0.05*x)",,,,,,,,,,,,,,,
#,_MiddleIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_middleincome,#,#,"CarUsage,0+(0.16*x)","AirTravel,0+(0.16*x)",,,,,,,,,,,,,,,,
#,_Terrorism,HIDDEN,0.5,0,1,HIGHBAD,icons_crimerate,#,"_year,0+(0.01*x)",#,,,,,,,,,,,,,,,,,
#,AirTravel,TRANSPORT,0,0,1,UNKNOWN,icons_airtravel,#,#,"CO2Emissions,0.32*(x^2)","OilDemand,0+(0.1*x)","Environment,-0.14*(x^3)","RailUsage,0-(0.04*x)","Pollution,0+(0.09*x)",,,,,,,,,,,,,
#,AlcoholConsumption,WELFARE,0.3,0,1,HIGHBAD,icons_alcohollaw,#,"GDP,0+(0.1*x)^0.5","PovertyRate,0.2*(x^2)","Unemployment,0.2*(x^2)",#,"Health,0-(0.05*x),12","WorkerProductivity,0-(0.15*x)","CrimeRate,0.0+(0.09*x)","ViolentCrimeRate,0.15*(x^1.2),6","HealthcareDemand,0+(0.12*x),1",,,,,,,,,,
#,AverageTemperature,PUBLICSERVICES,0,0,1,HIGHBAD,icons_AverageTemperature,#,"CO2Emissions,0+(0.25*x),16","GlobalCO2,0+(0.8*x),16",#,"ImmigrationDemand,0.09*(x^4)","ViolentCrimeRate,0.07*(x^4)",,,,,,,,,,,,,,
#,BusinessConfidence,ECONOMY,0.375,0,1,HIGHGOOD,icons_businessconfidence,#,"Stability,0+(0.25*x)","_effectivedebt_,-0.22*(x^2)+0.06",#,"GDP,-0.09+(0.18*x),8",,,,,,,,,,,,,,,
#,BusUsage,TRANSPORT,0.15,0,1,UNKNOWN,icons_bususage,#,"GDP,0+(0.1*x)",#,"CarUsage,0-(0.35*x)","RailUsage,0-(0.22*x)","OilDemand,0+(0.13*x)",,,,,,,,,,,,,,
#,CarUsage,TRANSPORT,0.8,0,1,UNKNOWN,icons_carusage,#,"GDP,0.55*(x^1.59)",#,"Environment,0-(0.22*x)","Motorist_freq,-0.4+(0.8*x)","CO2Emissions,0.5*(1.0-ElectricCarTransition)*x","OilDemand,0.3*(1.0-ElectricCarTransition)*x","Obesity,0+(0.2*x),2","Pollution,0.28*(1.0-ElectricCarTransition)*x",,,,,,,,,,,
#,Charity,WELFARE,0,0,1,HIGHGOOD,icons_charity,#,"_HighIncome,0.62*(x^3),2","_LowIncome,0.22*(x^3),2","Religious_perc,0+(0.12*x)","IncomeTax,-0.28*(x^8),2","LuxuryGoodsTax,-0.12*(x^8),2","Punitivewealthtax,0-(0.25*x)","PovertyRate,0.12*(x^2),3","UniversalBasicIncome,-0.02-(0.12*x),4",#,"Education,0+(0.12*x),12","Health,0+(0.09*x),2","ForeignRelations,0+(0.05*x),4","PovertyRate,0-(0.04*x)",,,,,,
#,CO2Emissions,ECONOMY,0.1,0,1,HIGHBAD,icons_co2,#,#,"ForeignRelations,0-(0.1*x)","Environmentalist,0.1+(x^2)*-0.7",,,,,,,,,,,,,,,,
#,Corruption,LAWANDORDER,0.4,0,1,HIGHBAD,icons_corruption,#,#,"_security_,0-(x^2)*0.2","GDP,-0.5*(x^4)*GDP","InternationalTrade,-0.5*(x^2)*InternationalTrade,4","OilPrice,0.15*(x^2)","Democracy,0-(x^1.5)*0.5","_All_,0-(x^2)*0.1","_percept_trust,0.1-(0.2*x)","TaxEvasion,0.06*(x^2),2",,,,,,,,,,
#,CrimeRate,LAWANDORDER,0.7,0,1,HIGHBAD,icons_crimerate,#,#,"_All_,0.05-(0.18*x)","GDP,0-(0.08*x)",,,,,,,,,,,,,,,,
#,CurrencyStrength,ECONOMY,0.5,0,1,UNKNOWN,icons_currency,#,"GDP,1.22*(x^1.24)-0.52,2",#,"InternationalTrade,0.2+(x^2.9)*-0.66,4","Tourism,0.12-(x^3)*0.42,2","FoodPrice,0.4-(0.8*x)^2,2","OilPrice,0.4-(0.8*x)",,,,,,,,,,,,,
#,Democracy,WELFARE,0.5,0,1,HIGHGOOD,icons_democracy,#,#,,,,,,,,,,,,,,,,,,
#,Education,PUBLICSERVICES,0.18,0,1,HIGHGOOD,icons_education,#,#,"WorkerProductivity,-0.2+(x*0.4),8","RacialTension,0-(0.08*x)","CrimeRate,-0.12*(x^6)","ViolentCrimeRate,-0.12*(x^4),10",,,,,,,,,,,,,,
#,ElectricCarTransition,TRANSPORT,0,0,1,HIGHGOOD,icons_electriccartransition,#,"Technology,0+(0.4*x)","Environmentalist_perc,0+(0.15*x),2","OilPrice,0.29*(x^3),4","CarEmmissionsLimits,0.10+(0.18*x),4","HybridCarsInitiative,0.08+(0.07*x),6","PetrolTax,0+(0.2*x),6","Newcarsubsidies,0.1+(0.1*x),3","Banlowmpgcars,0.07+(0.12*x),3",#,"CO2Emissions,0-(0.17*x)","OilDemand,0-(0.08*x)",,,,,,,,
#,Emigration,FOREIGNPOLICY,0,0,1,HIGHBAD,icons_emigration,#,"Stability,0.4-(0.4*x),2","Unemployment,0.25*(x^2),4","ForeignRelations,0+(0.1*x)",#,"Population,0-(0.10*x)",,,,,,,,,,,,,,
#,EnergyEfficiency,ECONOMY,0.5,0,1,HIGHGOOD,icons_energyefficiency,#,#,"GDP,0+(0.05*x)","CO2Emissions,0-(0.11*x)","OilDemand,0-(0.1*x)",,,,,,,,,,,,,,,
#,Environment,PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_environment,#,#,"Environmentalist,-0.4+(0.8*x)",,,,,,,,,,,,,,,,,
#,Equality,WELFARE,0.4,0,1,HIGHGOOD,icons_equality,#,#,"Socialist,-0.2+(0.4*x)","CrimeRate,0-(x*0.22)","_global_socialism,0.1-(x*0.2)","ViolentCrimeRate,0.2*(1-x)^4",,,,,,,,,,,,,,
#,FoodPrice,PUBLICSERVICES,0.2,0,1,HIGHBAD,icons_FoodPrice,#,"AverageTemperature,0.6*(x^2)","InternationalTrade,0-(0.48*x)","OilPrice,0.0+(0.2*x)","AgricultureSubsidies,0.0-(0.25*x)","FoodStandards,0.05+(0.04*x)","BiofuelSubsidies,0.0+(0.125*x)",#,"_LowIncome_fixed,-3000*(x^1.2)","_MiddleIncome_fixed,-4500*(x^1.2)","Health,0.0-(0.07*x)","Obesity,0-(x^2),2",,,,,,,,
#,ForeignAidReceived,FOREIGNPOLICY,0,0,1,HIGHGOOD,icons_foreignaidreceived,#,"GDP,0.6-(x^0.3)","PovertyRate,-0.6+(x*1.2)","HumanDevelopment,0.12-(x*0.24)","Corruption,0-(x^2)*0.3","Democracy,2.5*(x-0.5)^3,4","ForeignRelations,-0.3+(0.6*x)",#,"Health,0+(0.2*x),8","Education,0+(0.18*x),12","Environment,0+(0.2*x),8","PovertyRate,0-(0.2*x),8","Socialist,0+(0.1*x)","Poor,0+(0.2*x)","Farmers,0+(0.07*x)","Patriot,0-(0.1*x)",,,,
#,ForeignInvestment,FOREIGNPOLICY,0.5,0,1,HIGHGOOD,icons_foreigninvestment,#,"Stability,-0.2+(0.4*x),8","Democracy,-0.1+(0.2*x),4","WorkerProductivity,-0.2+(0.4*x)","WorkingWeek,-0.15+(0.3*x)","Wages,0.15-(0.3*x)","ForeignRelations,-0.2+(x^3)*0.4",#,"GDP,0.2*(x^0.6),8","Capitalist,-0.1+(0.2*x)",,,,,,,,,,
#,ForeignRelations,FOREIGNPOLICY,0.14,0,1,HIGHGOOD,icons_foreignrelations,#,#,"RacialTension,0.3-(0.6*x)","_Terrorism,0.24-(x*1)","Patriot_freq,0.2-(0.4*x)","ImmigrationDemand,-0.1+(0.16*x)",,,,,,,,,,,,,,
#,GDP,ECONOMY,0.57,0,1,HIGHGOOD,icons_gdp,#,"_globaleconomy_,0.25*(x^0.8)",#,"Capitalist,-0.2+(0.65*x)","CO2Emissions,0.7*(x^1.4)","AirTravel,1.0*(x^1.5)","ImmigrationDemand,0.41*(x^4),8","Unemployment,0.45-(0.5*x)^0.75","Environment,-0.84*(x^2)","Equality,-0.28*(x^6)","OilDemand,0+(0.4*x)","_HighIncome,0.28*(x^2)","Pollution,0.32*(x^2.85)","Wages,0.3*(x^3.2),2",,,,,,
#,GenderEquality,WELFARE,0,0,1,HIGHGOOD,icons_genderinequality,#,#,"Liberal,-0.14+(0.28*x)",,,,,,,,,,,,,,,,,
#,GenerationalWealthGap,ECONOMY,0.5,0,1,HIGHBAD,icons_generationalwagegap,#,"StatePensions,0.25*(x^4)","FreeBusPasses,0+(0.08*x)","PropertyTax,0-(0.27*x)","GraduateTax,0.05+(0.15*x)","RentControls,-0.08-(0.08*x)","UniversityGrants,-0.06-(0.12*x)",#,"Young,-0.23*(x^3)","Equality,-0.15*(x^3)",,,,,,,,,,
#,Health,PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_health,#,#,"Retired_freq,-0.2+(0.4*x),8","WorkerProductivity,-0.15+(0.15*x)","ImmigrationDemand,0.07*(x^6)",,,,,,,,,,,,,,,
#,HealthcareDemand,PUBLICSERVICES,0.22,0,1,HIGHBAD,icons_healthcaredemand,#,"Immigration,0+(0.12*x)","IllegalImmigration,0+(0.12*x)","Health,0-(0.26*x)","Technology,0.28*(x^1.44),2","Alcoholism,0+(0.12*x)","DrugAddiction,0+(0.12*x)","Obesity,0+(0.1*x),2","ContagiousDisease,0+(0.1*x)","ViolentCrimeRate,0.08*(x^2)","TobaccoUse,0+(0.08*x),16","AsthmaEpidemic,0.07*(x^1.2),2",#,"HospitalOvercrowding,0+(0.6*x),1",,,,,,
#,HumanDevelopment,WELFARE,0,0,1,HIGHGOOD,icons_humandevelopment,#,"Wages,0+(0.3334*x)","Health,0+(0.3334*x)","Education,0+(0.3334*x)",#,"Religious_freq,-4*(x-0.68)^3,32","ImmigrationDemand,-0.1+(0.16*x),8","Tourism,-0.2+(0.4*x),8","_All_,-0.2+(0.4*x)",,,,,,,,,,,
#,Immigration,FOREIGNPOLICY,0,0,1,UNKNOWN,icons_immigration,#,"ImmigrationDemand,1.0*(ImmigrationRules*x)",#,"RacialTension,1.4*(x^3),8","Unemployment,0.24*(x^3),2","EthnicMinorities_freq,-0.35+(0.7*x),8","Wages,-0-(0.22*x)","Population,0+(0.10*x)",,,,,,,,,,,,
#,ImmigrationDemand,FOREIGNPOLICY,0.8,0,1,UNKNOWN,icons_immigrationdemand,#,"_globaleconomy_,0.1+(x+1)*-0.1,2",#,,,,,,,,,,,,,,,,,
#,IllegalImmigration,FOREIGNPOLICY,0,0,1,HIGHBAD,icons_illegalimmigration,#,"ImmigrationDemand,0+(1-ImmigrationRules)*x",#,"Immigration,0+(0.2*x)",,,,,,,,,,,,,,,,
#,IndustrialAutomation,ECONOMY,0,0,1,HIGHGOOD,icons_IndustrialAutomation,#,"_year,0+(0.008*x)","RoboticsResearch,0.34*(x^1.2),16","Technology,0.45*(x^0.8)","DriverlessCarLaws,0.2*(x^0.2),8",#,"Unemployment,0.0+(0.4*x),10","TradeUnionist,0.0-(0.17*x)","WorkerProductivity,0.02+(0.15*x),16","WorkingWeek,0.1-(0.25*x),2",,,,,,,,,,
#,Inflation,ECONOMY,0.2,0,1,UNKNOWN,icons_inflation,#,#,"Hyperinflation,0.78*(x^4)","CurrencyStrength,0.05-(0.45*x)","Wealthy,-0.29*(x^3)","_HighIncome,-0.25*(x^4)","BusinessConfidence,0.05-(0.65*x)^3,1","Stability,-0.06*(x^4)",,,,,,,,,,,,
#,InternationalTrade,FOREIGNPOLICY,0.5,0,1,HIGHGOOD,icons_internationaltrade,#,"ForeignRelations,-0.2+(0.2*x),4",#,"GDP,0.12*(x^0.6)","AirTravel,0+(0.2*x)","CO2Emissions,0+(0.2*x)","Pollution,0+(0.05*x)","Farmers_freq,0-(0.04*x),12",,,,,,,,,,,,
#,InternetCurrencyAdoption,ECONOMY,0,0,1,UNKNOWN,icons_InternetCurrencyAdoption,#,"_year,0+(0.001*x)","Technology,0.0+(0.42*x),4","_MiddleIncome,0+(0.18*x)","Young,0.0+(0.16*x)","InternetCurrencyTaxation,0.0-(0.2*x)","InternetTax,0.0-(0.05*x),1","IncomeTax,0+(0.02*x),1","SalesTax,0+(0.07*x),1","Inflation,0.12*(x^4),2","FlatTax,0+(0.02*x),1",#,"IncomeTax_income,1.0-(0.05*x)","CorporationTax_income,1.0-(0.04*x)","SalesTax_income,1.0-(0.07*x)","LuxuryGoodsTax_income,1.0-(0.02*x)","CO2Emissions,0+(0.025*x)","InternetCrime,0+(0.17*x),5","Organised Crime,0+(0.17*x),5","TaxEvasion,0.08*(x^4),1"
#,InternetSpeed,ECONOMY,0.25,0,1,HIGHGOOD,icons_internetspeeds,#,"Technology,0+(0.2*x)",,,,#,"Young,-0.1+(0.2*x),1","SelfEmployed,-0.1+(0.25*x),2","SelfEmployed_freq,0+(0.09*x),4","CarUsage,-0.06*(x^4)",,,,,,,,,,
#,LegalDrugConsumption,WELFARE,0,0,1,UNKNOWN,icons_legaldrugconsumption,#,"_global_liberalism,0.25*(x^5)*Narcotics",#,"Health,-0.22*(x^2)","WorkerProductivity,0.00-(0.04*x)","AlcoholConsumption,0-(0.3*x),2","HealthcareDemand,0+(0.06*x)",,,,,,,,,,,,,
#,Lifespan,PUBLICSERVICES,0,0,1,HIGHGOOD,icons_lifespan,#,"_year,-0.1+(0.02*x)","Health,0+(0.65*x),4","Environment,-0.2+(0.4*x),6","Technology,0.0+(0.15*x),8","ViolentCrimeRate,0.0-(0.2*x)",#,"Retired_freq,0.0+(0.12*x)","Population,-0.1+(0.2*x)","HealthcareDemand,0.13*(x^3)",,,,,,,,,,
#,OilDemand,TRANSPORT,0.1,0,1,UNKNOWN,icons_oildemand,#,"_globaleconomy_,-0.1+(x+1)*0.1",#,"OilPrice,0.+(0.5*x)",,,,,,,,,,,,,,,,
#,OilPrice,TRANSPORT,0.5,0,1,UNKNOWN,icons_oilprice,#,#,"GDP,-0.4*(1.0-ElectricCarTransition)*x","Motorist,0.3-(0.6*x),2","Motorist_income_fixed,2000-(4000*x),2","Motorist_freq,0.2-(0.4*x),12",,,,,,,,,,,,,,
#,OilSupply,TRANSPORT,0.5,0,1,UNKNOWN,icons_oilsupply,#,"_year,0-(0.015*x)",#,"OilPrice,0-(0.5*x)",,,,,,,,,,,,,,,,
#,Population,PUBLICSERVICES,0.5,0,1,UNKNOWN,icons_population,#,#,"TrafficCongestion,-0.10+(0.2*x)","FoodPrice,-0.04+(0.08*x)","Pollution,0+(0.10*x)","Homelessness,-0.5+(0.1*x)","HealthcareDemand,0+(0.08*x)",,,,,,,,,,,,,
#,PovertyRate,WELFARE,0.65,0,1,HIGHBAD,icons_povertyrate,#,#,"Poor,0.3-(x^2)","CrimeRate,0.61*(x^2),4","RacialTension,0+(0.22*x),2","_global_socialism,0.2*(x^5)","Socialist,-0.35*(x^2)","ViolentCrimeRate,0.17*(x^3),6","Education,-0.13*(x^2),12",,,,,,,,,,,
#,PrivateEnergy,ECONOMY,0.5,0,1,UNKNOWN,icons_privateenergy,#,"GDP,-0.2+(0.3*x),16","CleanEnergySubsidies,0.05+(0.05*x),2","MicrogenerationGrants,-0.05-(0.1*x)","OilDrillingSubsidy,0+(0.12*x),4","Mandatorymicrogeneration,-0.1-(0.25*x)","SmartMeterProgram,-0.03-(0.05*x)","EcoHomeRegulations,-0.03-(0.04*x),32",#,"Unemployment,0-(0.09*x)","TradeUnionist,0-(0.06*x)","TradeUnionist_freq,0-(0.04*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,
#,PrivateHealthcare,PUBLICSERVICES,0.55,0,1,UNKNOWN,icons_privatehealth,#,"StateHealthService,-1.25*(x^1.3),4","GDP,0+(0.45*x),4",#,"Health,0.3*(x^0.6),4","Equality,0-(0.1*x),4","_LowIncome_fixed,0-(1100*x),4","_MiddleIncome_fixed,0-(2200*x),4","_HighIncome_fixed,0-(3600*x)","Retired,0.00+(0.16*x)","Unemployment,0-(0.07*x)","TradeUnionist,0-(0.1*x)","_global_socialism,-0.02-(0.06*x),8","HospitalOvercrowding,0-(0.47*x),2",,,,,,
#,PrivateHousing,WELFARE,0.5,0,1,UNKNOWN,icons_privatehousing,#,"StateHousing,-1.25*(x^1.3),4","GDP,0+(0.5*x),4",#,"_LowIncome,0-(0.17*x)","_MiddleIncome,0-(0.08*x)","Equality,0-(0.1*x),4","_global_socialism,-0.02-(0.06*x),8",,,,,,,,,,,,
#,PrivatePensions,WELFARE,0.45,0,1,UNKNOWN,icons_privatepensions,#,"StatePensions,0-(0.85*x),4","GDP,0+(0.55*x),4",#,"_MiddleIncome,0-(0.10*x)","Equality,0-(0.2*x),4","Retired,0.1+(0.5*x)","Retired_income,0.05+(0.1*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,,,,,
#,PrivateRail,TRANSPORT,0.5,0,1,UNKNOWN,icons_privaterail,#,"GDP,-0.2+(0.3*x),16",#,"RailUsage,0.00+(0.35*x),8","Unemployment,0-(0.09*x)","TradeUnionist,0-(0.06*x)","TradeUnionist_freq,0-(0.04*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,,,,,,
#,PrivateSchools,PUBLICSERVICES,0.45,0,1,UNKNOWN,icons_privateschools,#,"StateSchools,-1.25*(x^1.3),4","GDP,0+(0.55*x),4",#,"_LowIncome_fixed,-1000-(x^1.2)*3000","_MiddleIncome_fixed,-4000-(x^1.5)*6000","_HighIncome_fixed,-8000-(x^1.8)*5000","Equality,0-(0.1*x),8","Education,0.29*(x^0.6)+0.06,12","Unemployment,0-(0.13*x)","TradeUnionist,0-(0.1*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,,
#,PrivateTelecoms,ECONOMY,0.5,0,1,UNKNOWN,icons_privatetelecoms,#,"GDP,-0.2+(0.3*x),16","Technology,0+(0.2*x)","InternetTax,-0.06-(0.12*x)","TelecommutingInitiative,0.05+(0.05*x),4",#,"Unemployment,0-(0.09*x)","TradeUnionist,0-(0.06*x)","TradeUnionist_freq,0-(0.04*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,,,,
#,PrivateWater,PUBLICSERVICES,0.5,0,1,UNKNOWN,icons_privatewater,#,"GDP,-0.2+(0.3*x),16",#,"Unemployment,0-(0.09*x)","TradeUnionist,0-(0.06*x)","TradeUnionist_freq,0-(0.04*x)","_global_socialism,-0.02-(0.06*x),8",,,,,,,,,,,,,
#,RacialTension,FOREIGNPOLICY,0,0,1,HIGHBAD,icons_racialtension,#,#,"_Terrorism,-0.2+(x^4)","Patriot_freq,-0.12+(0.24*x)","_global_liberalism,0.1-(0.2*x)","EthnicMinorities,0-(0.4*x)","ImmigrationDemand,0-(0.1*x)",,,,,,,,,,,,,
#,RailUsage,TRANSPORT,0.25,0,1,UNKNOWN,icons_railusage,#,"GDP,0+(0.2*x)",#,"CarUsage,0-(0.35*x)","BusUsage,0-(0.25*x)","OilDemand,0+(0.12*x)",,,,,,,,,,,,,,
#,Stability,PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_stability,#,"PovertyRate,0.1-(x*0.2)","Environment,0.8*(x-0.5)^3","Health,0.8*(x-0.5)^3","Education,0.8*(x-0.5)^3","CrimeRate,0.1-(x*0.2)","ViolentCrimeRate,0.1-(x*0.2)","Democracy,0.8*(x-0.5)^3","Equality,0.8*(x-0.5)^3","Young_perc,8*(Retired_perc-x)^3","RacialTension,0.1-(x*0.2)","GDP,0.8*(x-0.5)^3","_Terrorism,0.1-(x*0.2)","Corruption,0-(x^2)*0.2","_effectivedebt_,-0.32*(x^2)+0.06",#,"Tourism,-0.3+(0.6*x),8","ImmigrationDemand,-0.10+(0.20*x),8","ForeignRelations,1.2*(x-0.5)^3,4","_global_liberalism,0.08-(x+1)^-6,16"
#,Technology,ECONOMY,0.4,0,1,HIGHGOOD,icons_Technology,#,#,"WorkerProductivity,0.15*(x^4)","Education,-0.1+(0.16*x),12","Unemployment,0.12*(x^4),4",,,,,,,,,,,,,,,
#,TobaccoUse,WELFARE,0.54,0,1,HIGHBAD,icons_tobaccotax,#,"GDP,0+(0.4*x)",#,"Health,0-(0.11*x),16",,,,,,,,,,,,,,,,
#,Tourism,ECONOMY,0.35,0,1,HIGHGOOD,icons_tourism,#,"AirlineTax,0-(0.3*x)","AntisocialBehaviour,0-(0.1*x)","CrimeRate,0-(0.1*x),8","StreetGangs,0-(0.3*x)","ViolentCrimeRate,0-(0.2*x),8","ForeignRelations,0+(0.4*x),4","BorderControls,0.0-(0.22*x)","SalesTax,0-(0.05*x)","_globaleconomy_,0+(0.25*x)","ClassWarfare,0-(0.4*x)","Environment,-0.1+(0.1*x),8","Pollution,-0.03-(0.03*x),4",#,"GDP,0+(0.10*x)","HealthcareDemand,0+(0.06*x),16",,,,
#,TrafficCongestion,TRANSPORT,0.25,0,1,HIGHBAD,icons_trafficcongestion,#,"CarUsage,0+(x^1.4)",#,"Commuter,0.4-(0.80*x)","Motorist,0.3-(0.6*x)","Motorist_freq,0.2-(0.2*x)","GDP,-0.10*(x^2)","CO2Emissions,0+(0.1*x)",,,,,,,,,,,,
#,Unemployment,ECONOMY,1,0,1,HIGHBAD,icons_unemployment,#,#,"WorkingWeek,0+(0.2*x)","TradeUnionist,-0.25*(x^1.28)","Commuter_freq,0-(0.28*x)","RacialTension,0.7*(x^3),2","PovertyRate,0.24*(x^8)","CrimeRate,0.26*(x^4)","WorkerProductivity,-0.215+(x*0.3)","Wages,0.2-(0.4*x)","Poor,-0.10*(x^2)","ImmigrationDemand,-0.22*(x^2)+0.05","Socialist,-0.2*(x^4)","Obesity,0+(0.07*x),4","_global_socialism,-0.04+(0.08*x)","ViolentCrimeRate,0.05*(x^1.1),4",,,,
#,Veganism,WELFARE,0.1,0,1,UNKNOWN,icons_veganism,#,"FoodPrice,0.25*(x^3),6","Environmentalist_perc,0+(0.12*x),4","JunkFoodTax,0.05+(0.1*x),2","HealthFoodSubsidies,0.07+(0.11*x),3","FoodStandards,0+(0.12*x),4","HealthyEatingCampaign,0+(0.06*x),1","CompulsoryFoodLabelling,0.05+(0.16*x),1",#,"Farmers_freq,0-(0.15*x),8","CO2Emissions,0-(0.08*x),8",,,,,,,,,
#,ViolentCrimeRate,LAWANDORDER,0.63,0,1,HIGHBAD,icons_violentcrimerate,#,"Health,0.05*(1.0-x)^4",#,"_All_,0.05-(0.21*x)","Retired,0-(0.18*x)","_global_liberalism,0-(0.1*x)",,,,,,,,,,,,,,
#,Wages,ECONOMY,0.5,0,1,UNKNOWN,icons_wages,#,,#,"_LowIncome,-0.25+(0.5*x)","_MiddleIncome,-0.13+(0.26*x)","WorkerProductivity,0-(0.4*x)","Inflation,0.21*(x^3)","_global_socialism,0.04-(0.08*x)",,,,,,,,,,,,
#,WorkerProductivity,ECONOMY,0.45,0,1,HIGHGOOD,icons_workerproductivity,#,#,"GDP,0.35*(x^0.76)","InternationalTrade,-0.2+(0.4*x),4","Unemployment,-0.08+(0.16*x),2",,,,,,,,,,,,,,,
#,WorkingWeek,ECONOMY,0.5,0,1,UNKNOWN,icons_workingweek,#,#,"TradeUnionist,0.1-(0.1*x)","Health,-0.24*(x^8)","WorkerProductivity,-0.06+(0.12*x)",,,,,,,,,,,,,,,
#,RareEarthPrice,ECONOMY,0,0,1,HIGHBAD,icons_rareearthprice,#,"_default_,0.1","_year,0+(0.02*x)","RareEarthRefinement,-0.1-(0.2*x),3","Technology,0.8*(x^3.7),6","ForeignRelations,-0.2*(x^0.4)","GreenElectronicsInitiative,-0.1-(0.17*x),1","_globaleconomy_,-0.07+(x+1)*0.07,1","CurrencyStrength,0.08-(0.16*x)",#,"Rareearthcrisis,0+(1.0*x)",,,,,,,,,
#,MentalHealth,PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_mentalhealth,#,"WorkingWeek,-0.07*(x*2)-1^5","LegalDrugConsumption,-0.11*(x^3),2","FakeNews,-0.04-(0.05*x),2","Pollution,-0.11*(x^4)","UniversalBasicIncome,0.02+(0.06*x),4","Alcoholism,-0.04-(0.07*x)","PovertyRate,-0.08*(x^5),2","ViolentCrimeRate,-0.08*(x^6),1",#,"HealthcareDemand,0.04-(0.08*x),2","Homelessness,0.12*(1-x)^5,4","Unemployment,0.05*(1-x)^5,2","Alcoholism,0.07*(1-x)^5,1","DrugAddiction,0.08*(1-x)^5,2",,,,,
#,_turnout_retired,NOCLICK,0,-1,1,UNKNOWN,,#,#,,,,,,,,,,,,,,,,,,
#,_turnout_youth,NOCLICK,0,-1,1,UNKNOWN,,#,#,,,,,,,,,,,,,,,,,,
#,_turnout_ethnic,NOCLICK,0,-1,1,UNKNOWN,,#,#,,,,,,,,,,,,,,,,,,
#,_turnout,NOCLICK,0,-1,1,UNKNOWN,,#,#,,,,,,,,,,,,,,,,,,
#,_campaigneffectiveness,NOCLICK,1,0,1,UNKNOWN,,#,#,,,,,,,,,,,,,,,,,,
